ID,NameSubtext_lang,Description_lang,AuraDescription_lang
6032,Rank 2,"Allows a hunter to teach $ghis:her; tamed tall strider the Healing Tongue ability. Healing Tongue heals friendly targets from a short range.
Requires: 
Pet Level 28+",
6033,,"Allows a hunter to teach $ghis:her; tamed tall strider the Strider Presence ability. Strider Presence helps regenerate health and mana.
Requires: 
Pet Level 36+",
6034,Rank 1,"Allows a hunter to teach $ghis:her; tamed turtle the Thick Skin ability. Thick Skin gives your turtle a chance to increase it's armor value when hit.
Requires: 
Pet Level 13+",
6035,Rank 2,"Allows a hunter to teach $ghis:her; tamed turtle the Thick Skin ability. Thick Skin gives your turtle a chance to increase it's armor value when hit.
Requires: 
Pet Level 18+",
6036,Rank 3,"Allows a hunter to teach $ghis:her; tamed turtle the Thick Skin ability. Thick Skin gives your turtle a chance to increase it's armor value when hit.
Requires: 
Pet Level 25+",
6037,Rank 4,"Allows a hunter to teach $ghis:her; tamed turtle the Thick Skin ability. Thick Skin gives your turtle a chance to increase it's armor value when hit.
Requires: 
Pet Level 32+",
6038,Rank 1,"Allows a hunter to teach $ghis:her; tamed turtle the Hand Snap ability. Hand Snap disarms an enemy as well as causing damage over time.
Requires: 
Pet Level 22+",
6039,,"Allows a hunter to teach $ghis:her; tamed wolf the Enraged Howl ability. Enraged Howl increases your party's strength and agility.
Requires: 
Pet Level 13+",
6040,,"Allows a hunter to teach $ghis:her; tamed wolf the Rabid Maw ability. Rabid Maw decreases an enemy's strength and agility.
Requires: 
Pet Level 36+",
6041,Rank 6,Casts a bolt of lightning at the target for $s1 Nature damage.,
6042,Rank 2,Teaches Create Lesser Healthstone.,
6043,Rank 6,,
6057,Rank 1,Increases your damage with Wands by $s1%.,
6059,Rank 3,,
6060,Rank 6,Smite an enemy for $s1 Holy damage.,
6062,Rank 6,,
6063,Rank 3,Heal your target for $s1.,
6064,Rank 4,Heal your target for $s1.,
6065,Rank 5,"Draws on the soul of the party member to shield them, absorbing $s1 damage.  Lasts $d.  While the shield holds, spellcasting will not be interrupted by damage.  Once shielded, the target cannot be shielded again for $6788d.",Absorbs damage.
6066,Rank 6,"Draws on the soul of the party member to shield them, absorbing $s1 damage.  Lasts $d.  While the shield holds, spellcasting will not be interrupted by damage.  Once shielded, the target cannot be shielded again for $6788d.",Absorbs damage.
6067,Rank 5,,
6068,Rank 6,,
6070,Rank 2,,
6071,Rank 3,,
6072,Rank 4,,
6073,Rank 1,,
6074,Rank 2,Heals the target of $o1 damage over $d.,Healing $s1 damage every $t1 seconds.
6075,Rank 3,Heals the target of $o1 damage over $d.,Healing $s1 damage every $t1 seconds.
6076,Rank 4,Heals the target of $o1 damage over $d.,Healing $s1 damage every $t1 seconds.
6077,Rank 5,Heals the target of $o1 damage over $d.,Healing $s1 damage every $t1 seconds.
6078,Rank 6,Heals the target of $o1 damage over $d.,Healing $s1 damage every $t1 seconds.
6079,Rank 2,,
6080,Rank 3,,
6081,Rank 4,,
6082,Rank 5,,
6083,Rank 6,,
6084,,Summons a Ghost Saber to fight for you for $d.,
6085,Rank 2,Increases your damage with Wands by $s1%.,
6089,Rank 6,Increases your damage with Wands by $s1.,
6090,Rank 7,Increases your damage with Wands by $s1.,
6091,Rank 8,Increases your damage with Wands by $s1.,
6092,Rank 9,Increases your damage with Wands by $s1.,
6093,Rank 10,Increases your damage with Wands by $s1.,
6094,Rank 1,Increases your chance to get a critical with Wands by $s1%.,
6095,Rank 1,Increases your attack rating with Wands by $s1.,
6096,Rank 2,Increases your attack rating with Wands by $s1.,
6097,Rank 2,Increases your chance to get a critical with Wands by $s1%.,
6098,Rank 3,Increases your chance to get a critical with Wands by $s1%.,
6099,Rank 1,Increases your attack rating with Wands by 4.,
6100,Rank 1,Increases your chances to score a critical hit with Wands by 2%.,
6101,Rank 1,Increases your damage with Wands by 1.,
6102,Rank 2,Increases your damage with Wands by 1.,
6103,Rank 3,Increases your damage with Wands by 1.,
6104,Rank 4,Increases your damage with Wands by 1.,
6105,Rank 5,Increases your damage with Wands by 1.,
6106,Rank 6,Increases your damage with Wands by 1.,
6107,Rank 7,Increases your damage with Wands by 1.,
6108,Rank 8,Increases your damage with Wands by 1.,
6109,Rank 10,Increases your damage with Wands by 2.,
6110,Rank 2,Increases your attack rating with Wands by 4.,
6111,Rank 2,Increases your chances to score a critical hit with Wands by 2%.,
6112,Rank 3,Increases your chances to score a critical hit with Wands by 2%.,
6113,Rank 9,Increases your damage with Wands by 2.,
6114,,Increases your Intellect by $s1 and decreases your Stamina by $s2 for $d.,Increased Intellect and decreased Stamina.
6115,,,
6116,Rank 1,,
6117,Rank 1,Increases your resistance to all magic by $s1 and allows $s2% of your mana regeneration to continue while casting.  Only one type of Armor spell can be active on the Mage at any time.  Lasts $d.,Resistance to all magic schools increased by $s1 and allows $s2% of your mana regeneration to continue while casting.
6119,,,
6121,Rank 1,,
6122,,,
6123,,,
6127,Rank 4,"Conjures $s1 $lbottle:bottles; of spring water, providing the mage and $ghis:her; allies with something to drink.

Conjured items disappear if logged out for more than 15 minutes.",
6128,Rank 4,,
6129,Rank 4,"Conjures $s1 $lloaf:loaves; of pumpernickel, providing the mage and $ghis:her; allies with something to eat.

Conjured items disappear if logged out for more than 15 minutes.",
6130,Rank 4,,
6131,Rank 3,Blasts enemies near the caster for ${$m1*$<frostdamage>} to ${$M1*$<frostdamage>} Frost damage and freezes them in place for up to $d.  Damage caused may interrupt the effect.,Frozen in place.
6132,Rank 3,,
6136,Rank 1,,Movement slowed by $w1% and time between attacks increased by $w2%.
6141,Rank 2,Ice shards pelt the target area doing ${$m1*$d*$<frostdamage>} Frost damage over $d.,$w1 Frost damage every $t1 $lsecond:seconds;.
6142,Rank 2,,
6143,Rank 1,Absorbs $s1 Frost damage.  Lasts $d.,Absorbs Frost damage.
6144,Rank 1,,
6145,,,
6146,Rank 2,Slows the enemy's movement by $s2% and their attack speed by $s1% for $d.,Reduces movement by $s2% and attack speed by $s1%.
6147,,,
6150,,,Ranged attack speed increased by $s1%.
6151,Rank 1,Increases your stealth by $s1.,
6153,Rank 2,Increases your stealth by $s1.,
6155,Rank 3,Increases your stealth by $s1.,
6156,Rank 4,Increases your stealth by $s1.,
6157,Rank 5,Increases your stealth by $s1.,
6158,Rank 6,,
6163,Rank 1,Increases your stealth by 2.,
6164,Rank 1,Increases your stealth detection by 3.,
6165,Rank 2,Increases your stealth by 2.,
6166,Rank 3,Increases your stealth by 2.,
6167,Rank 4,Increases your stealth by 2.,
6169,Rank 5,Increases your stealth by 2.,
6170,Rank 2,Increases your stealth detection by 3.,
6171,Rank 3,Increases your stealth detection by 3.,
6172,Rank 4,Increases your stealth detection by 3.,
6173,Rank 5,Increases your stealth detection by 3.,
6176,Rank 2,,
6177,Rank 3,,
6178,Rank 2,"Charge an enemy, generate $/10;s2 rage, and stun it for $7922d.  Cannot be used in combat.",
6180,Rank 2,,
6185,Rank 2,,
6187,Rank 2,,
6190,Rank 2,Reduces the melee attack power of all enemies within $a1 yards by $s1 for $d.,Reduces melee attack power by $w1.
6191,Rank 2,,
6192,Rank 3,"The warrior shouts, increasing the melee attack power of all party members within $a1 yards by $s1.  Lasts $d.",Increases your melee attack power by $w1.
6193,Rank 3,,
6195,,,
6196,,Changes the caster's viewpoint to the targeted location.  Lasts $d.  Only useable outdoors.,Cannot move while using Farsight.
6197,,Zooms in the hunter's vision.  Only usable outdoors.  Lasts $d.,
6198,,,
6199,,Will invoke bittersweet memories of Anaia's past beau hunk.,
6201,,"Creates a Minor Healthstone that can be used to instantly restore $6262s1 health.

Conjured items disappear if logged out for more than 15 minutes.",
6202,,"Creates a Lesser Healthstone that can be used to instantly restore $6263s1 health.

Conjured items disappear if logged out for more than 15 minutes.",
6203,,,
6204,,,
6205,Rank 3,Damage caused by the target is reduced by $s1 for $d.  Only one Curse per Warlock can be active on any one target.,Physical damage done reduced by $s1.
6206,Rank 3,,
6210,Rank 1,,
6211,Rank 2,,
6212,Rank 3,,
6213,Rank 2,"Strikes fear in the enemy, causing it to run in fear for up to $d.  Damage caused may interrupt the effect.  Only 1 target can be feared at a time.",Feared.
6214,Rank 2,,
6215,Rank 3,"Strikes fear in the enemy, causing it to run in fear for up to $d.  Damage caused may interrupt the effect.  Only 1 target can be feared at a time.",Feared.
6216,Rank 3,,
6217,Rank 3,"Curses the target with agony, causing $o1 Shadow damage over $d.  This damage is dealt slowly at first, and builds up as the Curse reaches its full duration.  Only one Curse per Warlock can be active on any one target.",$o1 Shadow damage over $d.
6218,Rank 3,,
6219,Rank 2,Calls down a fiery rain to burn enemies in the area of effect for $o1 Fire damage over $d.,$s1 Fire damage every $t1 seconds.
6220,Rank 2,,
6221,Rank 1,,
6222,Rank 2,"Corrupts the target, causing $o1 Shadow damage over $d.",$s1 Shadow damage every $t1 seconds.
6223,Rank 3,"Corrupts the target, causing $o1 Shadow damage over $d.",$s1 Shadow damage every $t1 seconds.
6224,Rank 2,,
6225,Rank 3,,
6226,Rank 2,Transfers $s1 Mana every $t1 sec from the target to the caster.  Lasts $d.,Drains $s1 mana each second to the caster.
6227,Rank 2,,
6228,Summon,,
6229,Rank 1,Absorbs $s1 shadow damage.  Lasts $d.,Absorbs Shadow damage.
6231,Rank 1,,
6232,Rank 1,,
6233,,,
6234,,,
6235,,,
6236,,,
6237,,,
6238,,,
6239,,,
6240,,,
6243,,,
6245,,,
6246,,,
6247,,,
6249,,,
6250,,,
6251,,Summons a cannon that will fire at enemies in front of it that are attacking you.,
6252,,Inflicts $s1 Fire damage to an enemy.,
6253,,"Backhands an enemy, stunning it for $d.",Stunned.
6254,,"Strikes an enemy with a lightning bolt that arcs to another nearby enemy. The spell affects up to $x1 targets, causing $s1 Nature damage to each.",
6255,,Inflicts $s1 Nature damage to an enemy.,
6257,,,$s2 Fire damage inflicted every $t2 sec.
6262,,Instantly restores $s1 life.,
6263,,Instantly restores $s1 life.,
6264,,Increases the caster's chance to parry by $s1% for $d.,Chance to parry increased by $s1%.
6266,,"Inflicts normal damage plus $s1 to nearby enemies, stunning them for $d.",Stunned.
6268,Rank 1,Increases the caster's movement speed by $s1% for $d. and causes it to inflict an additional $s2 damage on its first attack.,"Movement speed increased by $s1%.
Inflicts an additional $s2 damage on first attack."
6270,,Summons Myzrael from the Shards of Myzrael.,
6271,,,
6272,,,
6273,,,
6274,,Summons a ward that lasts $d. and periodically heals allies in an area around it.,
6275,,,
6276,,,
6277,,,
6278,,Inflicts $s1 Nature damage to an enemy every $t1 sec. for $d.,$s1 Nature damage inflicted every $t1 sec.
6280,Rank 1,Increases the health of the pet by $s1.,
6281,Rank 2,Increases the health of the pet by $s1.,
6282,Rank 3,Increases the health of the pet by $s1.,
6283,Rank 4,Increases the health of the pet by $s1.,
6284,Any Pet - Rank 1,Teaches your tamed pet to be tougher. This increases the base health of your pet by 50.,
6285,Rank 1,Allows a hunter to toughen his pet adding 20 to its health.,
6286,Rank 5,Increases the health of the pet by $s1.,
6287,Any Pet - Rank 2,Teaches your tamed pet to be tougher. This increases the base health of your pet by 100.,
6288,Any Pet - Rank 3,Teaches your tamed pet to be tougher. This increases the base health of your pet by 150.,
6289,Any Pet - Rank 4,Teaches your tamed pet to be tougher. This increases the base health of your pet by 200.,
6290,Any Pet - Rank 5,Teaches your tamed pet to be tougher. This increases the base health of your pet by 250.,
6291,Rank 2,Allows a hunter to toughen his pet adding 20 to its health.,
6292,Rank 3,Allows a hunter to toughen his pet adding 40 to its health.,
6293,Rank 4,Allows a hunter to toughen his pet adding 40 to its health.,
6294,Rank 5,Allows a hunter to toughen his pet adding 60 to its health.,
6295,,,
6296,,Enchants a weapon to have a 15% chance to inflict $6297s1 Fire damage to all enemies within $6297a1 yards.,
6297,,,
6298,,Transform into a Moonstalker and become invisible for $d.,Invisibility.
6304,,"Inflicts $s2 damage to an enemy, stunning it for $d.",Stunned.
6305,,,
6306,,Inflicts $s1 Nature damage to nearby enemies every $t1 sec. for $d.,$s1 Nature damage inflicted every $t1 sec.
6307,Rank 1,Increases party members' Stamina by $s1.,Increases Stamina by $s1.
6310,,,
6311,Rank 1,Increases the damage done by the pet by $s1.,
6312,Any Pet - Rank 1,Teaches your tamed pet to be more aggressive. This increases the base damage done by your pet by 3.,
6313,Rank 1,"Allows a hunter to increase $ghis:her; pet's ferocity, increasing its damage by 1.",
6314,Rank 2,Increases the damage done by the pet by $s1.,
6315,Rank 3,Increases the damage done by the pet by $s1.,
6316,Rank 4,Increases the damage done by the pet by $s1.,
6317,Rank 5,Increases the damage done by the pet by $s1.,
6318,Any Pet - Rank 2,Teaches your tamed pet to be more aggressive. This increases the base damage done by your pet by 6.,
6319,Any Pet - Rank 3,Teaches your tamed pet to be more aggressive. This increases the base damage done by your pet by 9.,
6320,Any Pet - Rank 4,Teaches your tamed pet to be more aggressive. This increases the base damage done by your pet by 12.,
6321,Any Pet - Rank 5,Teaches your tamed pet to be more aggressive. This increases the base damage done by your pet by 15.,
6322,Rank 2,"Allows a hunter to increase $ghis:her; pet's ferocity, increasing its damage by 1.",
6323,Rank 3,"Allows a hunter to increase $ghis:her; pet's ferocity, increasing its damage by 2.",
6324,Rank 4,"Allows a hunter to increase $ghis:her; pet's ferocity, increasing its damage by 2.",
6325,Rank 5,"Allows a hunter to increase $ghis:her; pet's ferocity, increasing its damage by 2.",
6327,,,
6328,Rank 1,Increases the pet's Spirit by $s1.  Must be trained using beast training.,
6329,Any Pet - Rank 1,Teaches your tamed pet to recover from wounds faster.  This increases the pet's base Spirit by 5.,
6330,Rank 1,Allows a hunter to increase $ghis:her; pet's Spirit by 1.,
6331,Rank 2,Increases the pet's Spirit by $s1.  Must be trained using beast training.,
6332,Rank 3,Increases the pet's Spirit by $s1.  Must be trained using beast training.,
6333,Rank 4,Increases the pet's Spirit by $s1.  Must be trained using beast training.,
6334,Rank 5,Increases the pet's Spirit by $s1.  Must be trained using beast training.,
6335,Any Pet - Rank 2,Teaches your tamed pet to recover from wounds faster.  This increases the pet's base Spirit by 10.,
6336,Any Pet - Rank 3,Teaches your tamed pet to recover from wounds faster.  This increases the pet's base Spirit by 15.,
6337,Any Pet - Rank 4,Teaches your tamed pet to recover from wounds faster.  This increases the pet's base Spirit by 20.,
6338,Any Pet - Rank 5,Teaches your tamed pet to recover from wounds faster.  This increases the pet's base Spirit by 25.,
6339,Rank 2,Allows a hunter to increase $ghis:her; pet's Spirit by 1.,
6340,Rank 3,Allows a hunter to increase $ghis:her; pet's Spirit by 2.,
6341,Rank 4,Allows a hunter to increase $ghis:her; pet's Spirit by 2.,
6342,Rank 5,Allows a hunter to increase $ghis:her; pet's Spirit by 3.,
6343,Rank 1,Blasts nearby enemies increasing the time between their attacks by $s2% for $d and doing $s1 damage to them.  Will affect up to $i targets.,Time between attacks increased by $s2%.
6345,,,
6346,,"Wards the friendly target against Fear.  The next Fear effect used against the target will fail, using up the ward.  Lasts $d.",Warded against Fear.
6347,Rank 1,,
6348,,Sends player to Menethil Harbor,
6349,,Sends player to Auberdine,
6350,Rank 2,,
6351,Rank 3,,
6352,Rank 4,,
6353,Rank 1,"Burn the enemy's soul, causing $s1 Fire damage.",
6354,,,
6355,,,
6356,,The Felhunter is immune to magic.,
6357,,,
6358,,"Seduces the target, preventing all actions for up to $d.  Any damage caused will remove the effect.  Only works against Humanoids.",Charmed.
6359,,,
6360,Rank 1,"Soothes the target, increasing the chance that it will attack something else.",
6362,Rank 1,,
6363,Rank 2,Summons a Searing Totem with $s1 health at your feet for $d that repeatedly attacks an enemy within $6350r yards for $6350s1 Fire damage.,
6364,Rank 3,Summons a Searing Totem with $s1 health at your feet for $d that repeatedly attacks an enemy within $6351r yards for $6351s1 Fire damage.,
6365,Rank 4,Summons a Searing Totem with $s1 health at your feet for $d that repeatedly attacks an enemy within $6352r yards for $6352s1 Fire damage.,
6366,,"Creates a Lesser Firestone which can be equipped in the off hand.  When equipped, enchants the main hand weapon with fire, granting each attack a chance to deal $17809s1 additional Fire damage.  In addition, equipping the Lesser Firestone increases the damage done by fire spells by $23480s1.

Conjured items disappear if logged out for more than 15 minutes.",
6371,Rank 2,,Heals $s1 every $t1 seconds.
6372,Rank 3,,Heals $s1 every $t1 seconds.
6375,Rank 2,Summons a Healing Stream Totem with $s1 health at the feet of the caster for $d that heals group members within $6371a1 yards for $6371s1 every $6371t1 seconds.,
6377,Rank 3,Summons a Healing Stream Totem with $s1 health at the feet of the caster for $d that heals group members within $6372a1 yards for $6372s1 every $6372t1 seconds.,
6379,Rank 2,,
6380,Rank 3,,
6381,Rank 4,,
6383,Rank 2,,
6384,Rank 3,,
6385,Rank 1,,
6386,Rank 2,,
6390,Rank 2,Summons a Stoneclaw Totem with $s1 health at the feet of the caster for $d that taunts creatures within $6393a1 yards to attack it.,
6391,Rank 3,Summons a Stoneclaw Totem with $s1 health at the feet of the caster for $d that taunts creatures within $6394a1 yards to attack it.,
6392,Rank 4,Summons a Stoneclaw Totem with $s1 health at the feet of the caster for $d that taunts creatures within $6395a1 yards to attack it.,
6393,Rank 2,,
6394,Rank 3,,
6395,Rank 4,,
6397,Rank 2,,
6398,Rank 3,,
6399,Rank 4,,
6400,Rank 2,,
6401,Rank 3,,
6402,Rank 4,,
6403,,,
6405,,Transforms you into a Furbolg for $d.,Transformed into a Furbolg.
6408,,Puts the caster in stealth mode. Lasts until cancelled.,Stealthed.
6409,Rank 1,"Inflicts normal damage plus $s1 on an enemy, stunning it for $d. when attacking from stealth.",Stunned.
6410,,"Heals $o1 damage over $d, assuming you don't bite down on a poison sac.",Restores $/5;s1 health per second.
6411,,Surprise!,
6412,,,
6413,,,
6414,,,
6415,,,
6416,,,
6417,,,
6418,,,
6419,,,
6421,,,
6422,Rank 1,,
6423,,Teaches you how to cook a Kaldorei Spider Kabob.,
6424,,Teaches you how to cook a Scorpid Surprise.,
6425,,Teaches you how to cook Roasted Kodo Meat.,
6426,,Teaches you how to cook a Fillet of Frenzy.,
6427,,Teaches you how to cook a Strider Stew.,
6428,,Teaches you how to cook a disgusting Dig Rat Stew.,
6429,,Teaches you how to cook up a Crispy Lizard Tail.,
6430,,Teaches you how to cook Lean Venison.,
6431,,,
6432,,,Stunned.
6433,,,
6434,Rank 1,Increases the caster's attack speed by $s1% for $d.,Attack speed increased by $s1%.
6435,,"Inflicts $s2 damage to an enemy, stunning it for $d.",Stunned.
6436,,,
6440,,,
6441,,Makes $s1 explosive shells.,
6442,,,
6443,Rank 1,Increases the pets Resistance to all Magic Schools by $s1.,
6444,Rank 2,Increases the pets Resistance to all Magic Schools by $s1.,
6445,Rank 3,Increases the pets Resistance to all Magic Schools by $s1.,
6446,Rank 4,Increases the pets Resistance to all Magic Schools by $s1.,
6447,Rank 5,Increases the pets Resistance to all Magic Schools by $s1.,
6448,Any Pet - Rank 1,Teaches your tamed pet to be more resistant to magic.  This increases the pet's resistance to all magic schools to 3.,
6449,Rank 1,Allows a hunter to increase $ghis:her; pet's Resistance to all Magic Schools by 3.,
6450,Any Pet - Rank 2,Teaches your tamed pet to be more resistant to magic.  This increases the pet's resistance to all magic schools to 6.,
6451,Any Pet - Rank 3,Teaches your tamed pet to be more resistant to magic.  This increases the pet's resistance to all magic schools to 9.,
6452,Any Pet - Rank 4,Teaches your tamed pet to be more resistant to magic.  This increases the pet's resistance to all magic schools to 12.,
6453,Any Pet - Rank 5,Teaches your tamed pet to be more resistant to magic.  This increases the pet's resistance to all magic schools to 12.,
6454,Rank 2,Allows a hunter to increase $ghis:her; pet's Resistance to all Magic Schools by 3.,
6455,Rank 3,Allows a hunter to increase $ghis:her; pet's Resistance to all Magic Schools by 3.,
6456,Rank 4,Allows a hunter to increase $ghis:her; pet's Resistance to all Magic Schools by 3.,
6457,Rank 5,Allows a hunter to increase $ghis:her; pet's Resistance to all Magic Schools by 3.,
6458,,,
6459,,,
6460,Expert,,
6461,Journeyman,Allows opening of locked chests and doors.  Gives a potential of 150 in your lockpicking skill.,
6462,,,
6463,Expert,Allows opening of locked chests and doors.  Gives a potential of 225 in your lockpicking skill.,
6464,,,
6465,,,
6466,,,Stunned.
6467,,,
6468,,,Attack speed increased by $s1%.
6469,,,
6470,,Creates a Tiny Bronze Key that is a reagent for mage unlocking spells.,
6471,,Creates a Tiny Iron Key that is a reagent for mage unlocking spells.,
6472,,Creates a Tiny Bronze Key that is a reagent for mage unlocking spells.,
6473,,Creates a Tiny Iron Key that is a reagent for mage unlocking spells.,
6474,,,
6476,QASpell,Permanently enchant a cloak to give $13523s1 Shadow Resistance.,
6477,,,
6478,,,
6479,,Summons $s1 $lRazormane Wolf:Razormane Wolves; to accompany the caster until dismissed.,
6480,,,
6481,Journeyman,Allows opening of locked chests and doors.  Gives a potential of 150 in your lockpicking skill.,
6482,Expert,Allows opening of locked chests and doors.  Gives a potential of 225 in your lockpicking skill.,
6483,,Sends player to Felwood,
6484,,Sends player to Balthule Shadowstrike,
6485,,,
6487,,Summons $s1 $lVoidwalker:Voidwalkers; to aid the caster in battle for $d.,
6488,,,
6490,,,
6492,,,
6493,,,
6494,Rank 1,,
6495,,Summons an immobile Sentry Totem with $s1 health at your feet for $d that allows vision of nearby area and warns of enemies that attack it.  Right-Click on buff to switch back and forth between totem sight and shaman sight.,Allows vision through Sentry Totem.  Right-Click on buff to switch back and forth between totem sight and shaman sight.
6496,,,
6497,,,
6498,,,
6499,,,
6500,,,
6501,,,
6502,,,
6503,,,
6504,,Teaches you how to cook a delicious Clam Chowder.,
6505,,,
6507,Rank 1,Increases the Physical damage dealt by nearby party members by $s1 for $d.,Physical damage dealt is increased by $s1.
6510,,Create the reagent for the Blind ability.,
6511,,,
6512,,Grants detect lesser invisibility for $d.,Detecting Lesser Invisiblity.
6513,Rank 1,Target is immune to poison for $d and is cured of any existing poisons.,Immune to poison.
6514,Rank 1,A razor edge increases your damage with this weapon by 2.,
6515,Rank 1,A razor edge increases your damage with this weapon by 3.,
6516,Rank 1,A razor edge increases your damage with this weapon by 5.,
6517,,,
6518,,,
6519,,Teaches you how to make an Iridescent Hammer.,
6520,,,
6521,,,
6522,,,
6523,,Caster phases out of sight,
6524,,"Stuns nearby enemies, rendering them unable to move or attack for $d.",Stunned.
6527,,Unlocks a worn chest.,
6528,,,
6529,,,
6530,,"Tosses dirt into an enemy's eyes, reducing its chance to hit by $s1% for $d.",Chance to hit reduced by $s1%.
6531,,,$s1 Nature damage inflicted every $t1 sec.
6533,,Immobilizes an enemy for $d.,Immobilized.
6534,,Teaches you how to cook a Crocolisk Steak.,
6535,,"Creates a cloud of lightning that lasts $d., blasting all enemies in a selected area for $s1 Nature damage and inflicting $s2 additional damage every $t2 sec.",
6536,,,
6537,,,
6538,,"Allows your scorpion to go into stealth, but it cannot move and it's sight range will be reduced. If it attacks from this position it will deal $s2 additional damage.",
6539,Scorpion,"Teaches your tamed scorpion the Dig Trap ability. Dig Trap allows the pet to enter stealth mode but will be rendered unable to move. If the scorpion attacks from this position it will deal additional damage.
Requires: 
Pet Level 22+",
6540,,"Allows a hunter to teach $ghis:her; tamed scorpion the Dig Trap ability. Dig Trap allows the pet to enter stealth mode but will be rendered unable to move. If the scorpion attacks from this position it will deal additional damage.
Requires: 
Pet Level 22+",
6543,Rank 4,,
6545,,,
6546,Rank 2,Wounds the target causing them to bleed for $o1 damage over $d.,Bleeding for $s1 damage every $t1 seconds.
6547,Rank 3,Wounds the target causing them to bleed for $o1 damage over $d.,Bleeding for $s1 damage every $t1 seconds.
6548,Rank 4,Wounds the target causing them to bleed for $o1 damage over $d.,Bleeding for $s1 damage every $t1 seconds.
6549,Rank 2,,
6550,Rank 3,,
6551,Rank 4,,
6552,Rank 1,Pummel the target for $s1 damage.  It also interrupts spellcasting and prevents any spell in that school from being cast for $d.,
6553,Rank 1,,
6554,Rank 2,Pummel the target for $s1 damage.  It also interrupts spellcasting and prevents any spell in that school from being cast for $d.,
6556,Rank 2,,
6558,Rank 1,,
6559,Rank 1,,
6560,,Deal $s1 Fire damage to the target.,
6563,Rank 3,,
6565,Rank 1,,
6567,Rank 2,,
6569,Rank 3,,
6571,Rank 1,,
6572,Rank 1,"Instantly counterattack an enemy for $s1 damage and a high amount of threat.   Revenge must follow a block, dodge or parry.",
6573,Rank 1,,
6574,Rank 2,"Instantly counterattack an enemy for $s1 damage and a high amount of threat.   Revenge must follow a block, dodge or parry.",
6575,Rank 2,,
6576,,Target creature becomes frightened and runs away at an increased speed for $d,
6577,Wolf,"Teaches your tamed wolf the Intimidating Growl ability. Intimidating Growl causes an enemy to run away in fear at an increased movement speed.
Requires: 
Pet Level 22+",
6579,,"Allows a hunter to teach $ghis:her; tamed wolf the Intimidating Growl ability. Intimidating Growl causes an enemy to run away in fear at an increased movement speed.
Requires: 
Pet Level 22+",
6580,,Knocks down an enemy and reduces it's movement speed for 6 sec.,
6581,,,
6582,Crocilisk,"Teaches your tamed crocilisk the Pierce Ankle ability. Pierce Ankle knocks down an enemy and reduces it's movement speed.
Requires: 
Pet Level 13+",
6583,,"Allows a hunter to teach $ghis:her; tamed crocilisk the Pierce Ankle ability. Pierce Ankle knocks down an enemy and reduces it's movement speed.
Requires: 
Pet Level 13+",
6584,,,
6587,,,
6588,,,
6589,,,
6590,,,
6591,,,
6592,,,
6593,,,
6594,,,
6595,,"Inflicts normal damage plus $s1 on an enemy, but only if attacking from behind.",
6598,,Summons $s1 $lSavannah Cub:Savannah Cubs; to accompany the caster until dismissed.,
6600,,,
6601,,,
6602,,,
6603,,,
6605,,Causes nearby enemies to flee in fear for $d.,Fleeing in fear.
6606,,,
6607,,Stuns an enemy for $d. and has a chance to disarm.,Stunned.
6608,,,Not wielding a weapon.
6609,,Fill the Jade Phial at the Starbreeze moonwell.,
6610,,Fill the Tourmaline Phial at the Pools of Arlithrien moonwell.,
6611,,Fill the Amethyst Phial at the Oracle Glade moonwell.,
6612,,Increases Rage by 20 to 40.,
6613,,Increases Rage by 30 to 60.,
6614,,You run in fear at a high speed from a nearby enemy in a random direction.   If there are no enemies nearby you stand frozen in fear.,
6615,,Makes you immune to Stun and Movement Impairing effects for the next $d.   Does not remove effects already on the imbiber.,Free Action.
6617,,,
6618,,,
6619,,,
6620,,Place near the Venture Co. Airport,
6621,,Teaches you how to make a Rage Potion.,
6622,,Teaches you how to make a Great Rage Potion.,
6623,,Teaches you how to make a Cowardly Flight Potion.,
6624,,,
6625,,Teaches you how to make a Free Action Potion.,
6626,,Sets NG-5 Charge (Blue),
6627,,Detonates NG-5 Charge (Red) after it's been set.,
6629,,,
6630,,Sets NG-5 Charge (Red),
6631,Rank 1,Teaches Arcane Missiles (Rank 1).,
6632,Rank 2,Teaches Arcane Missiles (Rank 2).,
6634,,Puts the caster in stealth mode for $d.,Stealthed.
6635,Rank 1,Teaches Conjure Water (Rank 1).,
6636,,,
6637,Rank 3,Teaches Arcane Missiles (Rank 3).,
6638,Rank 3,Teaches Conjure Water (Rank 3).,
6639,Rank 4,Teaches Conjure Water (Rank 4).,
6641,Rank 4,Teaches Conjure Food (Rank 4).,
6642,Rank 3,Teaches Frost Shield (Rank 3).,
6643,Rank 3,Teaches Frost Armor (Rank 3).,
6644,Rank 3,Teaches Frost Nova (Rank 3).,
6645,,,
6647,Rank 1,A fast acting poison that does $s1 damage to the target.,
6648,,Summons and dismisses a rideable Chestnut Mare.,Increases speed by $s2%.
6650,,"Coats a sword or dagger with poison that lasts for 30 minutes.
Each strike has a chance of poisoning the enemy which instantly inflicts 10-30 damage.",
6651,Rank 1,,
6652,,Teaches you how to make an Instant Toxin.,
6653,,Summons and dismisses a rideable Dire Wolf.,Increases speed by $s2%.
6654,,Summons and dismisses a rideable Brown Wolf.,Increases speed by $s2%.
6655,,,
6656,,Detonates NG-5 Charge (Blue) after it's been set.,
6657,,,
6658,,,
